County Name,City,Hospital Name,Patient Survey Star Rating
ADAMS,AURORA,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,4.0
ADAMS,BRIGHTON,PLATTE VALLEY MEDICAL CENTER,4.0
ADAMS,THORNTON,NORTH SUBURBAN MEDICAL CENTER,3.0
ALAMEDA,ALAMEDA,ALAMEDA HOSPITAL,2.0
ALAMEDA,BERKELEY,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,2.0
ALAMEDA,CASTRO VALLEY,EDEN MEDICAL CENTER,4.0
ALAMEDA,FREMONT,KAISER FOUNDATION HOSPITAL - FREMONT,4.0
ALAMEDA,FREMONT,WASHINGTON HOSPITAL,3.0
ALAMEDA,HAYWARD,ST ROSE HOSPITAL,3.0
ALAMEDA,OAKLAND,ALTA BATES SUMMIT MEDICAL CENTER,4.0
ALAMEDA,OAKLAND,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,4.0
ALAMEDA,OAKLAND,HIGHLAND HOSPITAL,3.0
ALAMEDA,PLEASANTON,STANFORD HEALTH CARE - VALLEYCARE,4.0
ALAMEDA,SAN LEANDRO,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,4.0
ALAMEDA,SAN LEANDRO,SAN LEANDRO HOSPITAL,2.0
ALAMOSA,ALAMOSA,SAN LUIS VALLEY HEALTH,2.0
AMADOR,JACKSON,SUTTER AMADOR HOSPITAL,4.0
ANCHORAGE,ANCHORAGE,PROVIDENCE ALASKA MEDICAL CENTER,4.0
ANCHORAGE,ANCHORAGE,ALASKA NATIVE MEDICAL CENTER,3.0
ANCHORAGE,ANCHORAGE,ALASKA REGIONAL HOSPITAL,3.0
APACHE,CHINLE,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,2.0
APACHE,FORT DEFIANCE,FORT DEFIANCE INDIAN HOSPITAL,3.0
ARAPAHOE,AURORA,"MEDICAL CENTER OF AURORA, THE",3.0
ARAPAHOE,ENGLEWOOD,SWEDISH MEDICAL CENTER,4.0
ARAPAHOE,LITTLETON,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,4.0
ARKANSAS,STUTTGART,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,5.0
ASHLEY,CROSSETT,ASHLEY COUNTY MEDICAL CENTER,4.0
AUTAUGA,PRATTVILLE,PRATTVILLE BAPTIST HOSPITAL,4.0
BALDWIN,BAY MINETTE,NORTH BALDWIN INFIRMARY,4.0
BALDWIN,FAIRHOPE,THOMAS HOSPITAL,4.0
BALDWIN,FOLEY,SOUTH BALDWIN REGIONAL MEDICAL CENTER,4.0
BARBOUR,EUFAULA,MEDICAL CENTER BARBOUR,3.0
BAXTER,MOUNTAIN HOME,BAXTER REGIONAL MEDICAL CENTER,4.0
BENTON,ROGERS,MERCY HOSPITAL NORTHWEST ARKANSAS,4.0
BENTON,SILOAM SPRINGS,SILOAM SPRINGS REGIONAL HOSPITAL,3.0
BETHEL,BETHEL,YUKON KUSKOKWIM DELTA REG HOSPITAL,3.0
BLOUNT,ONEONTA,ST VINCENTS BLOUNT,4.0
BOONE,HARRISON,NORTH ARKANSAS REGIONAL MEDICAL CENTER,3.0
BOULDER,BOULDER,FOOTHILLS HOSPITAL,4.0
BOULDER,LAFAYETTE,GOOD SAMARITAN MEDICAL CENTER,4.0
BOULDER,LONGMONT,LONGMONT UNITED HOSPITAL,4.0
BOULDER,LOUISVILLE,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,4.0
BROOMFIELD,WESTMINSTER,ST ANTHONY NORTH HEALTH CAMPUS,4.0
BUTLER,GREENVILLE,L V STABLER MEMORIAL HOSPITAL,3.0
BUTTE,CHICO,ENLOE MEDICAL CENTER,4.0
BUTTE,OROVILLE,OROVILLE HOSPITAL,2.0
BUTTE,PARADISE,ADVENTIST HEALTH FEATHER RIVER,3.0
CALHOUN,ANNISTON,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,3.0
CALHOUN,ANNISTON,STRINGFELLOW MEMORIAL HOSPITAL,3.0
CHAFFEE,SALIDA,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,5.0
CHILTON,CLANTON,ST VINCENT'S CHILTON,5.0
CLARK,ARKADELPHIA,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,4.0
CLARKE,GROVE HILL,GROVE HILL MEMORIAL HOSPITAL,3.0
CLAY,ASHLAND,CLAY COUNTY HOSPITAL,5.0
CLEBURNE,HEBER SPRINGS,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,5.0
COCHISE,SIERRA VISTA,CANYON VISTA MEDICAL CENTER,2.0
COCONINO,FLAGSTAFF,FLAGSTAFF MEDICAL CENTER,4.0
COCONINO,TUBA CITY,TUBA CITY REGIONAL HEALTH CARE CORPORATION,2.0
COFFEE,ENTERPRISE,MEDICAL CENTER ENTERPRISE,3.0
COLBERT,MUSCLE SHOALS,SHOALS HOSPITAL,4.0
COLBERT,SHEFFIELD,HELEN KELLER MEMORIAL HOSPITAL,3.0
COLUMBIA,MAGNOLIA,MAGNOLIA HOSPITAL,3.0
CONECUH,EVERGREEN,EVERGREEN MEDICAL CENTER,3.0
CONTRA COSTA,ANTIOCH,KAISER FOUNDATION HOSPITAL - ANTIOCH,4.0
CONTRA COSTA,ANTIOCH,SUTTER DELTA MEDICAL CENTER,2.0
CONTRA COSTA,CONCORD,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,4.0
CONTRA COSTA,MARTINEZ,CONTRA COSTA REGIONAL MEDICAL CENTER,3.0
CONTRA COSTA,SAN RAMON,SAN RAMON REGIONAL MEDICAL CENTER,3.0
CONTRA COSTA,WALNUT CREEK,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,4.0
CONTRA COSTA,WALNUT CREEK,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,3.0
COVINGTON,ANDALUSIA,ANDALUSIA HEALTH,3.0
COVINGTON,OPP,MIZELL MEMORIAL HOSPITAL,3.0
CRAIGHEAD,JONESBORO,NEA BAPTIST MEMORIAL HOSPITAL,4.0
CRAIGHEAD,JONESBORO,ST BERNARDS MEDICAL CENTER,4.0
CRAWFORD,VAN BUREN,SPARKS MEDICAL CENTER - VAN BUREN,3.0
CROSS,WYNNE,CROSSRIDGE COMMUNITY HOSPITAL,5.0
CULLMAN,CULLMAN,CULLMAN REGIONAL MEDICAL CENTER,3.0
DALE,OZARK,DALE MEDICAL CENTER,4.0
DALLAS,SELMA,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,2.0
DE KALB,FORT PAYNE,DEKALB REGIONAL MEDICAL CENTER,3.0
DEL NORTE,CRESCENT CITY,SUTTER COAST HOSPITAL,2.0
DELTA,DELTA,DELTA COUNTY MEMORIAL HOSPITAL,4.0
DENVER,DENVER,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,4.0
DENVER,DENVER,PRESBYTERIAN ST LUKES MEDICAL CENTER,4.0
DENVER,DENVER,ROSE MEDICAL CENTER,4.0
DENVER,DENVER,SAINT JOSEPH HOSPITAL,4.0
DENVER,DENVER,DENVER HEALTH MEDICAL CENTER,3.0
DOUGLAS,CASTLE ROCK,CASTLE ROCK ADVENTIST HOSPITAL,4.0
DOUGLAS,LONE TREE,SKY RIDGE MEDICAL CENTER,3.0
DOUGLAS,PARKER,PARKER ADVENTIST HOSPITAL,4.0
DREW,MONTICELLO,DREW MEMORIAL HOSPITAL,3.0
EAGLE,VAIL,VAIL HEALTH HOSPITAL,4.0
EL DORADO,PLACERVILLE,MARSHALL MEDICAL CENTER,4.0
EL DORADO,SOUTH LAKE TAHOE,BARTON MEMORIAL HOSPITAL,4.0
EL PASO,COLORADO SPRINGS,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,4.0
EL PASO,COLORADO SPRINGS,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,4.0
ELMORE,TALLASSEE,COMMUNITY HOSPITAL INC,3.0
ELMORE,WETUMPKA,ELMORE COMMUNITY HOSPITAL,4.0
ESCAMBIA,ATMORE,ATMORE COMMUNITY HOSPITAL,3.0
ESCAMBIA,BREWTON,D W MCMILLAN MEMORIAL HOSPITAL,4.0
